Function,Run,Seed,BestScore
F7,1,1000,0.006723771005994242
F7,2,1001,0.001159958469464725
F7,3,1002,0.001303231182335438
F7,4,1003,0.0025234034589962815
F7,5,1004,0.0022088100511534997
F7,6,1005,0.001612954130937916
F7,7,1006,0.0024518296662165073
F7,8,1007,0.003851160277836662
F7,9,1008,0.0014012512549177111
F7,10,1009,0.0027729261319358977
F7,11,1010,0.002372318610742789
F7,12,1011,0.002026102815790011
F7,13,1012,0.0006626291743091327
F7,14,1013,0.0017620126679659307
F7,15,1014,0.0008641453307487726
F7,16,1015,0.0007596154190120557
F7,17,1016,0.003134183719038463
F7,18,1017,0.0017235625074593665
F7,19,1018,0.0006465564594868496
F7,20,1019,0.001343750868431939
F7,21,1020,0.0010965906537643648
F7,22,1021,0.0022754204138539444
F7,23,1022,0.003413677204628086
F7,24,1023,0.003406062756110394
F7,25,1024,0.0019443830726371676
F7,26,1025,0.0004764969479075936
F7,27,1026,0.0013660153692448126
F7,28,1027,0.0005118911728164197
F7,29,1028,0.0014164224222932786
F7,30,1029,0.0014883696398263733
