algorithm,problem,problem_name,dim,n_constraints,seed,N,MaxIter,penalty,feasibility_tolerance,best_fitness,raw_objective,feasible,within_bounds,max_violation,curve_start,curve_end,curve_len,elapsed_seconds,status,message,x1,x2,x3,x4,x5,x6,x7
GWO,spring,Tension/compression spring,3,4,1000,30,500,1e+30,1e-08,0.013231749739207854,0.013231749739207854,True,True,0.0,1e+30,0.013231749739207854,500,0.672287099994719,PASS,,0.05733771694787034,0.5079849165256248,5.922927253668614,,,,
SCHO,spring,Tension/compression spring,3,4,1000,30,500,1e+30,1e-08,0.01344289781388731,0.01344289781388731,True,True,0.0,0.09278357672170759,0.01344289781388731,500,0.6634900000062771,PASS,,0.05808224057051532,0.5299701719940573,5.518907597261367,,,,
GWO,pressure_vessel,Pressure vessel,4,4,1000,30,500,1e+30,1e-08,5928.172671705204,5928.172671705204,True,True,0.0,360040.0749641333,5928.172671705204,500,0.6960019000107422,PASS,,0.7936765725696665,0.39626285586005433,41.09979228815041,189.45665612259214,,,
SCHO,pressure_vessel,Pressure vessel,4,4,1000,30,500,1e+30,1e-08,6149.3640825710845,6149.3640825710845,True,True,0.0,2183467.268260414,6149.3640825710845,500,0.7213306999765337,PASS,,0.8925943290444174,0.4442162313198946,46.11375493148403,132.93116372886658,,,
GWO,welded_beam,Welded beam,4,7,1000,30,500,1e+30,1e-08,1.7309175854623886,1.7309175854623886,True,True,0.0,1e+30,1.7309175854623886,500,1.2554895000066608,PASS,,0.20270458373013756,3.5413326407156673,9.041184064667625,0.2057897122755337,,,
SCHO,welded_beam,Welded beam,4,7,1000,30,500,1e+30,1e-08,1e+30,4.348547874447729,False,True,33216.31699222488,1e+30,1e+30,500,1.005999699991662,NO_FEASIBLE_FOUND,Best fitness stayed at the death penalty.,1.090632902152619,1.4508581546043349,2.4267785936455595,1.3537579982329253,,,
GWO,speed_reducer,Speed reducer,7,11,1000,30,500,1e+30,1e-08,1e+30,4019.0192547558136,False,True,0.2695367417474437,1e+30,1e+30,500,1.2052404999849387,NO_FEASIBLE_FOUND,Best fitness stayed at the death penalty.,3.121385737975063,0.760384184700633,22.180359770544793,7.503247942544679,7.8287590256200525,3.0910362800807887,5.140772799320926
SCHO,speed_reducer,Speed reducer,7,11,1000,30,500,1e+30,1e-08,1e+30,3206.247617454076,False,True,0.14315418178282124,1e+30,1e+30,500,0.9995561000541784,NO_FEASIBLE_FOUND,Best fitness stayed at the death penalty.,3.121385737975063,0.7136450318646902,19.585309548495065,7.959872630648908,7.369134329639713,3.283191987172398,5.095241763436859
GWO,cantilever_printed,Cantilever beam (paper-printed objective),5,1,1000,30,500,1e+30,1e-08,13.013139436252017,13.013139436252017,True,True,0.0,80.96462799550298,13.013139436252017,500,1.019943899998907,PASS,,5.9090372548853844,4.887747850964035,4.492770694754806,3.47985245814667,2.1385921208313943,,
SCHO,cantilever_printed,Cantilever beam (paper-printed objective),5,1,1000,30,500,1e+30,1e-08,13.025095652781282,13.025095652781282,True,True,0.0,91.29149650716661,13.025095652781282,500,0.8529924000031315,PASS,,5.844206816417873,4.899747078182278,4.530804839725054,3.478719126231529,2.173732378487744,,
GWO,three_bar_truss,Three-bar truss,2,3,1000,30,500,1e+30,1e-08,263.903843426608,263.903843426608,True,True,0.0,290.49335162223025,263.903843426608,500,0.7349590000230819,PASS,,0.7881671447909793,0.40976510310551567,,,,,
SCHO,three_bar_truss,Three-bar truss,2,3,1000,30,500,1e+30,1e-08,263.9072609378958,263.9072609378958,True,True,0.0,283.66236206601155,263.9072609378958,500,0.8670899999560788,PASS,,0.785971005961302,0.4160108968539614,,,,,
