path,exists,size_bytes,sha256
benchmarks/engineering_design.py,True,16608,ad3404467d96a9bac247313abcd4f7fd6d41391d9ecfad837fa29fe7667ed9c5
benchmarks/constraint_handling.py,True,2415,16d27d9876a15b2a3d41744ea3c4eb9896b860e8a7f8b717023040e493a3207c
experiments/test_engineering_f1.py,True,5661,cfbded1206dac22b26e7d03642b8171e3aa80ffaa483c0dc2981ad60b6e08ac5
experiments/test_engineering_f2.py,True,9323,382f7fda98e5927722186b9ae3b55908271ce6f9ba8174f009980e6e97694dd2
experiments/test_engineering_f3_all6.py,True,11928,875eefa56ee7e163d93b348cec0e788a4b5c5561e52653cfc5bfbc4ed2b34bd8
experiments/benchmark_engineering_f4.py,True,18062,b62fed5ab28f0bb33bd0820951d838428aa9aa8f6cb983335f16e679cb971758
experiments/analyze_engineering_f5.py,True,22541,d946a3e2acb5650641e32ee8fd9e54c1b01b01580f4fff845ab190cf4e8a4169
results/raw/engineering_f3_single_run.csv,True,3520,4ab50f6d7e3e321a7673591369819bfd6f1744dddd1efa1803f5d103010e65a7
results/raw/engineering_f4_runs.csv,True,100440,4d478832be1c0b470cacd44dc0049c4868909d6318bc8962e3651ccf8a778c27
results/processed/engineering_f4_summary.csv,True,3442,8affc46b0cb0a629e2446bc38daa5ebbd850e33a8369d5a77d2d1ee87ab0e8a0
results/processed/engineering_f5_paper_comparison.csv,True,4164,bdb19df83a9a895a4ab727e3901741d01cc77e66c0d6c83c1749a97bbb8adb7a
results/processed/engineering_f5_seed_diagnostics.csv,True,1450,00335ad358b2ec382bc4c2a35035d627b8c54671f7913c1d311b0658e9d742a4
report/engineering_f5_analysis.md,True,5850,9d9205c068d1c0e4f3edf2b8791cc6e7e4ab65a9266b4e904b44566014188029
report/notes/F0_engineering_protocol_audit.md,True,11632,139d5e5c46025340afbd33384d2834aa4ba4e2204f6e060abf286a506214f029
experiments/finalize_engineering_f6.py,True,18476,c4e02665900671e5d799eedca189e91dfe685c213517705766f855418d8c33ac
report/stage_f_engineering_final.md,True,8129,d5418cbf606957f5c832bbe3e4fbab76b2e5fd9cf80399511202ddf7355dd374
